name,sex,age,height,weight,team,noc,year,season,sport,medal
Olga Nikolayevna Kaniskina,F,23.0,160,43,Russia,RUS,2008,Summer,Athletics,Gold
Olga Nikolayevna Kaniskina,F,27.0,160,43,Russia,RUS,2012,Summer,Athletics,Silver
Tivadar Kanizsa,M,23.0,180,78,Hungary,HUN,1956,Summer,Water Polo,Gold
Tivadar Kanizsa,M,27.0,180,78,Hungary,HUN,1960,Summer,Water Polo,Bronze
Tivadar Kanizsa,M,31.0,180,78,Hungary,HUN,1964,Summer,Water Polo,Gold
Esa Veikko Antero Kankkonen,M,24.0,174,76,Finland,FIN,1964,Winter,Ski Jumping,Gold
Esa Veikko Antero Kankkonen,M,24.0,174,76,Finland,FIN,1964,Winter,Ski Jumping,Silver
Bernd Gerhard Kannenberg,M,30.0,176,75,West Germany,FRG,1972,Summer,Athletics,Gold
Maiko Kano,F,24.0,185,72,Japan,JPN,2012,Summer,Volleyball,Bronze
Paavo Tapio Kantanen,M,23.0,184,73,Finland,FIN,1972,Summer,Athletics,Bronze
Gerd Kanter,M,29.0,196,125,Estonia,EST,2008,Summer,Athletics,Gold
Gerd Kanter,M,33.0,196,125,Estonia,EST,2012,Summer,Athletics,Bronze
Anik Kntor,F,28.0,167,57,Hungary,HUN,1996,Summer,Handball,Bronze
Anik Kntor,F,32.0,167,57,Hungary,HUN,2000,Summer,Handball,Silver
Waldo Ariel Kantor,M,28.0,178,74,Argentina,ARG,1988,Summer,Volleyball,Bronze
Nwankwo Christian Nwosu Kanu,M,19.0,197,80,Nigeria,NGR,1996,Summer,Football,Gold
Igor Vladimirovich Kanygin,M,24.0,184,90,Soviet Union,URS,1980,Summer,Wrestling,Silver
Anastasiya Aleksandrovna Kapachinskaya,F,28.0,176,62,Russia,RUS,2008,Summer,Athletics,Silver
Anastasiya Aleksandrovna Kapachinskaya,F,32.0,176,62,Russia,RUS,2012,Summer,Athletics,Silver
Niko Klaus Petteri Kapanen,M,27.0,177,80,Finland,FIN,2006,Winter,Ice Hockey,Silver
Niko Klaus Petteri Kapanen,M,31.0,177,80,Finland,FIN,2010,Winter,Ice Hockey,Bronze
Sami Hannu Antero Kapanen,M,20.0,177,80,Finland,FIN,1994,Winter,Ice Hockey,Bronze
Sami Hannu Antero Kapanen,M,24.0,177,80,Finland,FIN,1998,Winter,Ice Hockey,Bronze
Boglrka Kaps,F,23.0,168,54,Hungary,HUN,2016,Summer,Swimming,Bronze
Ramona Kapheim (Jahnke-),F,22.0,177,68,East Germany,GDR,1980,Summer,Rowing,Gold
Viktor Arsenyevich Kapitonov,M,26.0,178,73,Soviet Union,URS,1960,Summer,Cycling,Gold
Viktor Arsenyevich Kapitonov,M,26.0,178,73,Soviet Union,URS,1960,Summer,Cycling,Bronze
Hamit Kaplan,M,22.0,190,97,Turkey,TUR,1956,Summer,Wrestling,Gold
Hamit Kaplan,M,25.0,190,97,Turkey,TUR,1960,Summer,Wrestling,Silver
Hamit Kaplan,M,30.0,190,97,Turkey,TUR,1964,Summer,Wrestling,Bronze
Vladimir Aleksandrovich Kaplichny,M,28.0,181,78,Soviet Union,URS,1972,Summer,Football,Bronze
Vladimir Iosifovich Kaplunov,M,31.0,160,69,Soviet Union,URS,1964,Summer,Weightlifting,Silver
Chris Kappler,M,37.0,190,72,United States,USA,2004,Summer,Equestrianism,Silver
Chris Kappler,M,37.0,190,72,United States,USA,2004,Summer,Equestrianism,Gold
Vadim Pavlovich Kapranov,M,28.0,190,85,Soviet Union,URS,1968,Summer,Basketball,Bronze
Velik Nikolov Kapsazov,M,25.0,167,67,Bulgaria,BUL,1960,Summer,Gymnastics,Bronze
Vasily Borisovich Kaptyukh,M,29.0,197,125,Belarus,BLR,1996,Summer,Athletics,Bronze
Franz Kapus,M,46.0,188,92,Switzerland-1,SUI,1956,Winter,Bobsleigh,Gold
Denis Viktorovich Kapustin,M,29.0,190,84,Russia,RUS,2000,Summer,Athletics,Bronze
Sergey Alekseyevich Kapustin,M,22.0,180,88,Soviet Union,URS,1976,Winter,Ice Hockey,Gold
Stefan Kapaniak,M,27.0,176,73,Poland,POL,1960,Summer,Canoeing,Bronze
Luka Karabatic,M,28.0,202,108,France,FRA,2016,Summer,Handball,Silver
Nikola Karabatic,M,24.0,194,104,France,FRA,2008,Summer,Handball,Gold
Nikola Karabatic,M,28.0,194,104,France,FRA,2012,Summer,Handball,Gold
Nikola Karabatic,M,32.0,194,104,France,FRA,2016,Summer,Handball,Silver
"Daniel ""Dan"" Karabin",M,25.0,172,74,Czechoslovakia,TCH,1980,Summer,Wrestling,Bronze
Daouda Karabou,M,32.0,198,92,France,FRA,2008,Summer,Handball,Gold
Daouda Karabou,M,36.0,198,92,France,FRA,2012,Summer,Handball,Gold
Vladimir Nikolayevich Karabutov,M,25.0,195,93,Unified Team,EUN,1992,Summer,Water Polo,Bronze
Eftykhia Karagianni,F,30.0,168,61,Greece,GRE,2004,Summer,Water Polo,Silver
Ashot Karagyan,M,29.0,183,73,Soviet Union,URS,1980,Summer,Fencing,Silver
Ashot Karagyan,M,29.0,183,73,Soviet Union,URS,1980,Summer,Fencing,Bronze
Milorad Karali,M,26.0,184,80,Yugoslavia,YUG,1972,Summer,Handball,Gold
Sergey Zakharovich Karamchakov,M,26.0,153,48,Soviet Union,URS,1988,Summer,Wrestling,Bronze
Yousef Karami,M,21.0,183,80,Iran,IRI,2004,Summer,Taekwondo,Bronze
